corpus,drama,documentTitle,language,Name,Pnd,Translator.Name,Translator.Pnd,Date.Written,Date.Printed,Date.Premiere,Date.Translation
gdc,11d11.0,Faust. Der Tragödie zweiter Teil,de,Johann Wolfgang Goethe,118540238,,,1825,1832,1856,0
gdc,11d2m.0,Torquato Tasso,de,Johann Wolfgang Goethe,118540238,,,1780,1790,1807,0
gdc,11f78.0,Iphigenie auf Tauris,de,Johann Wolfgang Goethe,118540238,,,0,1787,1800,0
gdc,11f7n.0,Faust [in ursprünglicher Gestalt],de,Johann Wolfgang Goethe,118540238,,,1772,1887,1918,0
gdc,11f81.0,Clavigo,de,Johann Wolfgang Goethe,118540238,,,0,1774,1774,0
gdc,11f9k.0,Der Bürgergeneral,de,Johann Wolfgang Goethe,118540238,,,1793,1793,1793,0
gdc,11fg5.0,Pandora,de,Johann Wolfgang Goethe,118540238,,,1807,1810,0,0
gdc,11fzp.0,Die Laune des Verliebten,de,Johann Wolfgang Goethe,118540238,,,1767,1806,1779,0
gdc,11g1d.0,Götz von Berlichingen mit der eisernen Hand,de,Johann Wolfgang Goethe,118540238,,,1771,1773,1774,0
gdc,11g3h.0,Die natürliche Tochter,de,Johann Wolfgang Goethe,118540238,,,1801,1803,1803,0
gdc,11g5f.0,Der Großkophta,de,Johann Wolfgang Goethe,118540238,,,0,1792,1791,0
gdc,11g5g.0,Des Epimenides Erwachen,de,Johann Wolfgang Goethe,118540238,,,0,1815,1815,0
gdc,11g5q.0,Faust,de,Johann Wolfgang Goethe,118540238,,,1797,1808,1819,0
gdc,11g68.0,Das Jahrmarktsfest zu Plundersweilern,de,Johann Wolfgang Goethe,118540238,,,1773,1789,1778,0
gdc,11g9w.0,Egmont,de,Johann Wolfgang Goethe,118540238,,,1775,1788,1789,0
gdc,11gn9.0,Satyros oder der vergötterte Waldteufel,de,Johann Wolfgang Goethe,118540238,,,1773,1817,0,0
gdc,11gtp.0,Erwin und Elmire,de,Johann Wolfgang Goethe,118540238,,,1774,1775,1775,0
gdc,11h10.0,Der Triumph der Empfindsamkeit,de,Johann Wolfgang Goethe,118540238,,,1777,1787,1778,0
gdc,11h60.0,"Götter, Helden und Wieland",de,Johann Wolfgang Goethe,118540238,,,1773,1774,0,0
gdc,11hb1.0,Die Mitschuldigen,de,Johann Wolfgang Goethe,118540238,,,1768,1909,1776,0
gdc,11hb5.0,Proserpina,de,Johann Wolfgang Goethe,118540238,,,0,1778,1778,0
gdc,11hdv.0,Stella,de,Johann Wolfgang Goethe,118540238,,,1775,1776,1776,0
gdc,12675.0,Die Nase des Michelangelo,de,Hugo Ball,118506234,,,1908,1911,0,0
